msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age
919934730001,gwrwvn,htdpic,Korea,gwrwvn@gmail.com,Hindi,Urdu,216,Yes,20
919934730002,wjpggi,ettlsb,India,wjpggi@gmail.com,Hindi,Spanish,311,No,51
919934730003,ntajpu,rwdevp,India,ntajpu@gmail.com,Hindi,Urdu,291,No,54
919934730004,myklnt,bhlgqy,India,myklnt@gmail.com,English,Urdu,100,Yes,70
919934730005,xiwisc,cdzpup,India,xiwisc@gmail.com,Malayalam,Tamil,253,No,16
919934730006,mdimvj,ostdcq,India,mdimvj@gmail.com,Hindi,Tamil,192,No,54
919934730007,xaajso,zghjks,USA,xaajso@gmail.com,English,Mandarin,219,No,20
919934730008,aiwtev,ryfrpe,India,aiwtev@gmail.com,Korean,Urdu,288,No,23
919934730009,stbigp,mcluze,India,stbigp@gmail.com,Hindi,Spanish,294,Yes,35
919934730010,nvvufu,gmepfh,Korea,nvvufu@gmail.com,Malayalam,Spanish,362,Yes,30
919934730011,xntowj,gyymoe,India,xntowj@gmail.com,Korean,Mandarin,240,No,26
919934730012,subyve,mztsrg,USA,subyve@gmail.com,English,Spanish,16,Yes,36
919934730013,qsbgxh,pxdauw,USA,qsbgxh@gmail.com,English,Mandarin,163,No,27
919934730014,yqrdkw,zmaqto,Pakisthan,yqrdkw@gmail.com,Korean,Tamil,108,Yes,67
919934730015,ylpozi,dghpxg,India,ylpozi@gmail.com,English,Mandarin,342,Yes,39
919934730016,tvbiny,tvpmsz,Korea,tvbiny@gmail.com,Korean,Urdu,263,Yes,33
919934730017,uprdkd,zdufru,Korea,uprdkd@gmail.com,Hindi,Mandarin,365,Yes,16
919934730018,lzwoax,pjbxrk,USA,lzwoax@gmail.com,Malayalam,Urdu,23,No,22
919934730019,uzundi,vymadx,USA,uzundi@gmail.com,Malayalam,Tamil,187,No,40
919934730020,yxrjba,gmarne,Pakisthan,yxrjba@gmail.com,Hindi,Spanish,132,No,56
919934730021,fnybdj,fuawoc,USA,fnybdj@gmail.com,Malayalam,Spanish,341,No,46
919934730022,uskfrj,qsbucz,Korea,uskfrj@gmail.com,Hindi,Mandarin,390,Yes,18
919934730023,yjidsx,ecvnow,Korea,yjidsx@gmail.com,Malayalam,Tamil,294,Yes,22
919934730024,znlzgn,nixlvu,USA,znlzgn@gmail.com,Korean,Spanish,95,Yes,58
919934730025,tkmnjr,qnkeez,USA,tkmnjr@gmail.com,Korean,Tamil,378,Yes,44
919934730026,ybcbjp,iqvrnb,India,ybcbjp@gmail.com,Malayalam,Urdu,224,No,32
919934730027,gssqbt,rxevaw,Pakisthan,gssqbt@gmail.com,English,Spanish,105,No,61
919934730028,ktekxj,hobcuv,USA,ktekxj@gmail.com,English,Spanish,58,No,19
919934730029,eshgit,vacmsj,Pakisthan,eshgit@gmail.com,Hindi,Mandarin,2,No,73
919934730030,mviyxp,fzlyzg,Pakisthan,mviyxp@gmail.com,English,Tamil,130,No,55
919934730031,ltiynb,vownoz,USA,ltiynb@gmail.com,English,Tamil,273,No,61
919934730032,lpkptj,rlkrbv,Pakisthan,lpkptj@gmail.com,Hindi,Mandarin,33,Yes,50
919934730033,zvgawx,vbbvdk,Pakisthan,zvgawx@gmail.com,English,Mandarin,237,Yes,33
919934730034,oatzvn,qiugwp,India,oatzvn@gmail.com,Malayalam,Tamil,183,Yes,60
919934730035,iysdcw,ycafnm,Pakisthan,iysdcw@gmail.com,Hindi,Spanish,338,No,56
919934730036,xyczhm,ymoeiz,USA,xyczhm@gmail.com,Hindi,Urdu,187,No,42
919934730037,ulxqdr,xwlhyv,India,ulxqdr@gmail.com,Korean,Mandarin,87,Yes,57
919934730038,ynfrvq,ermhfh,USA,ynfrvq@gmail.com,English,Mandarin,306,No,39
919934730039,txlmqw,fzzorp,India,txlmqw@gmail.com,Malayalam,Mandarin,365,Yes,21
919934730040,pjxckl,rkhkjk,Korea,pjxckl@gmail.com,English,Mandarin,393,Yes,41
919934730041,dbjpxr,yfibrr,Pakisthan,dbjpxr@gmail.com,Hindi,Urdu,229,No,18
919934730042,wnymca,ezzbgs,USA,wnymca@gmail.com,Hindi,Tamil,336,No,59
919934730043,yapqop,wbcedc,Pakisthan,yapqop@gmail.com,Malayalam,Mandarin,363,No,62
919934730044,veeqqz,wdgjsm,Korea,veeqqz@gmail.com,Hindi,Tamil,52,Yes,45
919934730045,ejfktl,zkdfju,Korea,ejfktl@gmail.com,Korean,Spanish,308,No,30
919934730046,jpwcsr,qokycb,India,jpwcsr@gmail.com,Malayalam,Urdu,72,No,30
919934730047,hojzay,zbfgfw,India,hojzay@gmail.com,English,Urdu,97,Yes,43
919934730048,xuqssb,xrmwmc,India,xuqssb@gmail.com,Hindi,Tamil,385,No,17
919934730049,aqqide,oaykle,Korea,aqqide@gmail.com,English,Tamil,175,Yes,31
919934730050,wkzrls,lkrpbo,USA,wkzrls@gmail.com,English,Mandarin,332,Yes,18
